strategy,category,subcategory,allocation_pct
"Income 100 (ETF, QUSLGDIV)",Equity,Int'l Developed Core,10.4962
"Income 100 (ETF, QUSLGDIV)",Equity,Int'l Developed Small/Mid Cap,5.7105
"Income 100 (ETF, QUSLGDIV)",Equity,Emerging Markets Core,9.7988
"Income 100 (ETF, QUSLGDIV)",Cash,,0.8745
"Income 100 (ETF, QUSLGDIV)",Cash,Cash,0.3862
"Income 100 (ETF, QUSLGDIV)",Cash,Money Market Taxable,0.4883
Income 20 (ETF),Equity,,20.0
Income 20 (ETF),Equity,US Large Cap Core,7.0394
Income 20 (ETF),Equity,US Real Estate,0.326
Income 20 (ETF),Equity,US Sector Equity,4.5269
Income 20 (ETF),Equity,US Mid Cap Core,0.7075
Income 20 (ETF),Equity,US Small Cap Core,2.1991
Income 20 (ETF),Equity,Int'l Developed Core,2.0992
Income 20 (ETF),Equity,Int'l Developed Small/Mid Cap,1.1421
Income 20 (ETF),Equity,Emerging Markets Core,1.9598
Income 20 (ETF),Bonds,,79.1255
Income 20 (ETF),Bonds,US Aggregate Bond,35.3744
Income 20 (ETF),Bonds,US Treasury,11.425
Income 20 (ETF),Bonds,US Corporate Bond,18.5578
Income 20 (ETF),Bonds,Int'l Bond,13.7682
Income 20 (ETF),Cash,,0.8745
Income 20 (ETF),Cash,Cash,0.2995
Income 20 (ETF),Cash,Money Market Taxable,0.575
"Income 20 (ETF, All Weather)",Equity,,20.0
"Income 20 (ETF, All Weather)",Equity,US Large Cap Core,6.7368
"Income 20 (ETF, All Weather)",Equity,US Real Estate,0.2914
"Income 20 (ETF, All Weather)",Equity,US Sector Equity,3.9796
"Income 20 (ETF, All Weather)",Equity,US Mid Cap Core,0.7229
"Income 20 (ETF, All Weather)",Equity,US Small Cap Core,2.1449
"Income 20 (ETF, All Weather)",Equity,Int'l Developed Core,2.9871
"Income 20 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,1.0012
"Income 20 (ETF, All Weather)",Equity,Emerging Markets Core,2.1362
"Income 20 (ETF, All Weather)",Bonds,,74.4257
"Income 20 (ETF, All Weather)",Bonds,US Aggregate Bond,29.8183
"Income 20 (ETF, All Weather)",Bonds,US Treasury,18.3179
"Income 20 (ETF, All Weather)",Bonds,US Corporate Bond,17.2983
"Income 20 (ETF, All Weather)",Bonds,Int'l Bond,8.9912
"Income 20 (ETF, All Weather)",Alternative,,4.1236
"Income 20 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Income 20 (ETF, All Weather)",Cash,,1.4507
"Income 20 (ETF, All Weather)",Cash,Cash,0.488
"Income 20 (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Income 20 (ETF, B5YCRP)",Equity,,20.0
"Income 20 (ETF, B5YCRP)",Equity,US Large Cap Core,7.0394
"Income 20 (ETF, B5YCRP)",Equity,US Real Estate,0.326
"Income 20 (ETF, B5YCRP)",Equity,US Sector Equity,4.5269
"Income 20 (ETF, B5YCRP)",Equity,US Mid Cap Core,0.7075
"Income 20 (ETF, B5YCRP)",Equity,US Small Cap Core,2.1991
"Income 20 (ETF, B5YCRP)",Equity,Int'l Developed Core,2.0992
"Income 20 (ETF, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 (ETF, B5YCRP)",Equity,Emerging Markets Core,1.9598
"Income 20 (ETF, B5YCRP)",Bonds,,79.1255
"Income 20 (ETF, B5YCRP)",Bonds,US Aggregate Bond,35.3744
"Income 20 (ETF, B5YCRP)",Bonds,US Treasury,11.425
"Income 20 (ETF, B5YCRP)",Bonds,US Corporate Bond,18.5578
"Income 20 (ETF, B5YCRP)",Bonds,Int'l Bond,13.7682
"Income 20 (ETF, B5YCRP)",Cash,,0.8745
"Income 20 (ETF, B5YCRP)",Cash,Cash,0.2995
"Income 20 (ETF, B5YCRP)",Cash,Money Market Taxable,0.575
"Income 20 (ETF, QUSLGDIV)",Equity,,20.0
"Income 20 (ETF, QUSLGDIV)",Equity,US Large Cap Core,7.0394
"Income 20 (ETF, QUSLGDIV)",Equity,US Real Estate,0.326
"Income 20 (ETF, QUSLGDIV)",Equity,US Sector Equity,4.5269
"Income 20 (ETF, QUSLGDIV)",Equity,US Mid Cap Core,0.7075
"Income 20 (ETF, QUSLGDIV)",Equity,US Small Cap Core,2.1991
"Income 20 (ETF, QUSLGDIV)",Equity,Int'l Developed Core,2.0992
"Income 20 (ETF, QUSLGDIV)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 (ETF, QUSLGDIV)",Equity,Emerging Markets Core,1.9598
"Income 20 (ETF, QUSLGDIV)",Bonds,,79.1255
"Income 20 (ETF, QUSLGDIV)",Bonds,US Aggregate Bond,35.3744
"Income 20 (ETF, QUSLGDIV)",Bonds,US Treasury,11.425
"Income 20 (ETF, QUSLGDIV)",Bonds,US Corporate Bond,18.5578
"Income 20 (ETF, QUSLGDIV)",Bonds,Int'l Bond,13.7682
"Income 20 (ETF, QUSLGDIV)",Cash,,0.8745
"Income 20 (ETF, QUSLGDIV)",Cash,Cash,0.2995
"Income 20 (ETF, QUSLGDIV)",Cash,Money Market Taxable,0.575
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,,20.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,US Large Cap Core,7.0394
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,US Real Estate,0.326
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,US Sector Equity,4.5269
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,US Mid Cap Core,0.7075
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,US Small Cap Core,2.1991
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,Int'l Developed Core,2.0992
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Equity,Emerging Markets Core,1.9598
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Bonds,,79.1255
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Aggregate Bond,35.3744
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Treasury,11.425
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Corporate Bond,18.5578
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Bonds,Int'l Bond,13.7682
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Cash,,0.8745
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Cash,Cash,0.2995
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Cash,Money Market Taxable,0.575
Income 20 TM (ETF),Equity,,20.0
Income 20 TM (ETF),Equity,US Large Cap Core,7.0394
Income 20 TM (ETF),Equity,US Real Estate,0.326
Income 20 TM (ETF),Equity,US Sector Equity,4.5269
Income 20 TM (ETF),Equity,US Mid Cap Core,0.7075
Income 20 TM (ETF),Equity,US Small Cap Core,2.1991
Income 20 TM (ETF),Equity,Int'l Developed Core,2.0992
Income 20 TM (ETF),Equity,Int'l Developed Small/Mid Cap,1.1421
Income 20 TM (ETF),Equity,Emerging Markets Core,1.9598
Income 20 TM (ETF),Bonds,,79.1255
Income 20 TM (ETF),Bonds,US Aggregate Bond,35.3744
Income 20 TM (ETF),Bonds,US Treasury,11.425
Income 20 TM (ETF),Bonds,US Corporate Bond,18.5578
Income 20 TM (ETF),Bonds,Int'l Bond,13.7682
Income 20 TM (ETF),Cash,,0.8745
Income 20 TM (ETF),Cash,Cash,0.2995
Income 20 TM (ETF),Cash,Money Market Taxable,0.575
"Income 20 TM (ETF, N7YMUN)",Equity,,20.0
"Income 20 TM (ETF, N7YMUN)",Equity,US Large Cap Core,7.0394
"Income 20 TM (ETF, N7YMUN)",Equity,US Real Estate,0.326
"Income 20 TM (ETF, N7YMUN)",Equity,US Sector Equity,4.5269
"Income 20 TM (ETF, N7YMUN)",Equity,US Mid Cap Core,0.7075
"Income 20 TM (ETF, N7YMUN)",Equity,US Small Cap Core,2.1991
"Income 20 TM (ETF, N7YMUN)",Equity,Int'l Developed Core,2.0992
"Income 20 TM (ETF, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 TM (ETF, N7YMUN)",Equity,Emerging Markets Core,1.9598
"Income 20 TM (ETF, N7YMUN)",Bonds,,79.1255
"Income 20 TM (ETF, N7YMUN)",Bonds,US Aggregate Bond,35.3744
"Income 20 TM (ETF, N7YMUN)",Bonds,US Treasury,11.425
"Income 20 TM (ETF, N7YMUN)",Bonds,US Corporate Bond,18.5578
"Income 20 TM (ETF, N7YMUN)",Bonds,Int'l Bond,13.7682
"Income 20 TM (ETF, N7YMUN)",Cash,,0.8745
"Income 20 TM (ETF, N7YMUN)",Cash,Cash,0.2995
"Income 20 TM (ETF, N7YMUN)",Cash,Money Market Taxable,0.575
"Income 20 TM (ETF, QUSLGDIV)",Equity,,20.0
"Income 20 TM (ETF, QUSLGDIV)",Equity,US Large Cap Core,7.0394
"Income 20 TM (ETF, QUSLGDIV)",Equity,US Real Estate,0.326
"Income 20 TM (ETF, QUSLGDIV)",Equity,US Sector Equity,4.5269
"Income 20 TM (ETF, QUSLGDIV)",Equity,US Mid Cap Core,0.7075
"Income 20 TM (ETF, QUSLGDIV)",Equity,US Small Cap Core,2.1991
"Income 20 TM (ETF, QUSLGDIV)",Equity,Int'l Developed Core,2.0992
"Income 20 TM (ETF, QUSLGDIV)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 TM (ETF, QUSLGDIV)",Equity,Emerging Markets Core,1.9598
"Income 20 TM (ETF, QUSLGDIV)",Bonds,,79.1255
"Income 20 TM (ETF, QUSLGDIV)",Bonds,US Aggregate Bond,35.3744
"Income 20 TM (ETF, QUSLGDIV)",Bonds,US Treasury,11.425
"Income 20 TM (ETF, QUSLGDIV)",Bonds,US Corporate Bond,18.5578
"Income 20 TM (ETF, QUSLGDIV)",Bonds,Int'l Bond,13.7682
"Income 20 TM (ETF, QUSLGDIV)",Cash,,0.8745
"Income 20 TM (ETF, QUSLGDIV)",Cash,Cash,0.2995
"Income 20 TM (ETF, QUSLGDIV)",Cash,Money Market Taxable,0.575
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,,20.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Large Cap Core,7.0394
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Real Estate,0.326
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Sector Equity,4.5269
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Mid Cap Core,0.7075
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Small Cap Core,2.1991
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Int'l Developed Core,2.0992
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,1.1421
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Emerging Markets Core,1.9598
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,,79.1255
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,US Aggregate Bond,35.3744
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,US Treasury,11.425
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,US Corporate Bond,18.5578
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,Int'l Bond,13.7682
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Cash,,0.8745
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Cash,Cash,0.2995
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Cash,Money Market Taxable,0.575
Income 30 (ETF),Equity,,30.0
Income 30 (ETF),Equity,US Large Cap Core,10.5592
Income 30 (ETF),Equity,US Real Estate,0.489
Income 30 (ETF),Equity,US Sector Equity,6.7903
Income 30 (ETF),Equity,US Mid Cap Core,1.0612
Income 30 (ETF),Equity,US Small Cap Core,3.2987
Income 30 (ETF),Equity,Int'l Developed Core,3.1489
Income 30 (ETF),Equity,Int'l Developed Small/Mid Cap,1.7131
Income 30 (ETF),Equity,Emerging Markets Core,2.9396
Income 30 (ETF),Bonds,,69.1255
Income 30 (ETF),Bonds,US Aggregate Bond,30.9037
Income 30 (ETF),Bonds,US Treasury,9.9811
Income 30 (ETF),Bonds,US Corporate Bond,16.2125
Income 30 (ETF),Bonds,Int'l Bond,12.0281
Income 30 (ETF),Cash,,0.8745
Income 30 (ETF),Cash,Cash,0.2995
Income 30 (ETF),Cash,Money Market Taxable,0.575
"Income 30 (ETF, All Weather)",Equity,,30.0
"Income 30 (ETF, All Weather)",Equity,US Large Cap Core,10.1051
"Income 30 (ETF, All Weather)",Equity,US Real Estate,0.4371
"Income 30 (ETF, All Weather)",Equity,US Sector Equity,5.9693
"Income 30 (ETF, All Weather)",Equity,US Mid Cap Core,1.0843
"Income 30 (ETF, All Weather)",Equity,US Small Cap Core,3.2174
"Income 30 (ETF, All Weather)",Equity,Int'l Developed Core,4.4807
"Income 30 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,1.5018
"Income 30 (ETF, All Weather)",Equity,Emerging Markets Core,3.2043
"Income 30 (ETF, All Weather)",Bonds,,64.4257
"Income 30 (ETF, All Weather)",Bonds,US Aggregate Bond,25.8118
"Income 30 (ETF, All Weather)",Bonds,US Treasury,15.8566
"Income 30 (ETF, All Weather)",Bonds,US Corporate Bond,14.9741
"Income 30 (ETF, All Weather)",Bonds,Int'l Bond,7.7831
"Income 30 (ETF, All Weather)",Alternative,,4.1236
"Income 30 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Income 30 (ETF, All Weather)",Cash,,1.4507
"Income 30 (ETF, All Weather)",Cash,Cash,0.488
"Income 30 (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Income 30 (ETF, B5YCRP)",Equity,,30.0
"Income 30 (ETF, B5YCRP)",Equity,US Large Cap Core,10.5592
"Income 30 (ETF, B5YCRP)",Equity,US Real Estate,0.489
"Income 30 (ETF, B5YCRP)",Equity,US Sector Equity,6.7903
"Income 30 (ETF, B5YCRP)",Equity,US Mid Cap Core,1.0612
"Income 30 (ETF, B5YCRP)",Equity,US Small Cap Core,3.2987
"Income 30 (ETF, B5YCRP)",Equity,Int'l Developed Core,3.1489
"Income 30 (ETF, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 (ETF, B5YCRP)",Equity,Emerging Markets Core,2.9396
"Income 30 (ETF, B5YCRP)",Bonds,,69.1255
"Income 30 (ETF, B5YCRP)",Bonds,US Aggregate Bond,30.9037
"Income 30 (ETF, B5YCRP)",Bonds,US Treasury,9.9811
"Income 30 (ETF, B5YCRP)",Bonds,US Corporate Bond,16.2125
"Income 30 (ETF, B5YCRP)",Bonds,Int'l Bond,12.0281
"Income 30 (ETF, B5YCRP)",Cash,,0.8745
"Income 30 (ETF, B5YCRP)",Cash,Cash,0.2995
"Income 30 (ETF, B5YCRP)",Cash,Money Market Taxable,0.575
"Income 30 (ETF, QUSLGDIV)",Equity,,30.0
"Income 30 (ETF, QUSLGDIV)",Equity,US Large Cap Core,10.5592
"Income 30 (ETF, QUSLGDIV)",Equity,US Real Estate,0.489
"Income 30 (ETF, QUSLGDIV)",Equity,US Sector Equity,6.7903
"Income 30 (ETF, QUSLGDIV)",Equity,US Mid Cap Core,1.0612
"Income 30 (ETF, QUSLGDIV)",Equity,US Small Cap Core,3.2987
"Income 30 (ETF, QUSLGDIV)",Equity,Int'l Developed Core,3.1489
"Income 30 (ETF, QUSLGDIV)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 (ETF, QUSLGDIV)",Equity,Emerging Markets Core,2.9396
"Income 30 (ETF, QUSLGDIV)",Bonds,,69.1255
"Income 30 (ETF, QUSLGDIV)",Bonds,US Aggregate Bond,30.9037
"Income 30 (ETF, QUSLGDIV)",Bonds,US Treasury,9.9811
"Income 30 (ETF, QUSLGDIV)",Bonds,US Corporate Bond,16.2125
"Income 30 (ETF, QUSLGDIV)",Bonds,Int'l Bond,12.0281
"Income 30 (ETF, QUSLGDIV)",Cash,,0.8745
"Income 30 (ETF, QUSLGDIV)",Cash,Cash,0.2995
"Income 30 (ETF, QUSLGDIV)",Cash,Money Market Taxable,0.575
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,,30.0
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,US Large Cap Core,10.5592
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,US Real Estate,0.489
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,US Sector Equity,6.7903
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,US Mid Cap Core,1.0612
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,US Small Cap Core,3.2987
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,Int'l Developed Core,3.1489
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Equity,Emerging Markets Core,2.9396
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Bonds,,69.1255
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Aggregate Bond,30.9037
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Treasury,9.9811
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Bonds,US Corporate Bond,16.2125
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Bonds,Int'l Bond,12.0281
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Cash,,0.8745
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Cash,Cash,0.2995
"Income 30 (ETF, QUSLGDIV, B5YCRP)",Cash,Money Market Taxable,0.575
Income 30 TM (ETF),Equity,,30.0
Income 30 TM (ETF),Equity,US Large Cap Core,10.5592
Income 30 TM (ETF),Equity,US Real Estate,0.489
Income 30 TM (ETF),Equity,US Sector Equity,6.7903
Income 30 TM (ETF),Equity,US Mid Cap Core,1.0612
Income 30 TM (ETF),Equity,US Small Cap Core,3.2987
Income 30 TM (ETF),Equity,Int'l Developed Core,3.1489
Income 30 TM (ETF),Equity,Int'l Developed Small/Mid Cap,1.7131
Income 30 TM (ETF),Equity,Emerging Markets Core,2.9396
Income 30 TM (ETF),Bonds,,69.1255
Income 30 TM (ETF),Bonds,US Aggregate Bond,30.9037
Income 30 TM (ETF),Bonds,US Treasury,9.9811
Income 30 TM (ETF),Bonds,US Corporate Bond,16.2125
Income 30 TM (ETF),Bonds,Int'l Bond,12.0281
Income 30 TM (ETF),Cash,,0.8745
Income 30 TM (ETF),Cash,Cash,0.2995
Income 30 TM (ETF),Cash,Money Market Taxable,0.575
"Income 30 TM (ETF, N7YMUN)",Equity,,30.0
"Income 30 TM (ETF, N7YMUN)",Equity,US Large Cap Core,10.5592
"Income 30 TM (ETF, N7YMUN)",Equity,US Real Estate,0.489
"Income 30 TM (ETF, N7YMUN)",Equity,US Sector Equity,6.7903
"Income 30 TM (ETF, N7YMUN)",Equity,US Mid Cap Core,1.0612
"Income 30 TM (ETF, N7YMUN)",Equity,US Small Cap Core,3.2987
"Income 30 TM (ETF, N7YMUN)",Equity,Int'l Developed Core,3.1489
"Income 30 TM (ETF, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 TM (ETF, N7YMUN)",Equity,Emerging Markets Core,2.9396
"Income 30 TM (ETF, N7YMUN)",Bonds,,69.1255
"Income 30 TM (ETF, N7YMUN)",Bonds,US Aggregate Bond,30.9037
"Income 30 TM (ETF, N7YMUN)",Bonds,US Treasury,9.9811
"Income 30 TM (ETF, N7YMUN)",Bonds,US Corporate Bond,16.2125
"Income 30 TM (ETF, N7YMUN)",Bonds,Int'l Bond,12.0281
"Income 30 TM (ETF, N7YMUN)",Cash,,0.8745
"Income 30 TM (ETF, N7YMUN)",Cash,Cash,0.2995
"Income 30 TM (ETF, N7YMUN)",Cash,Money Market Taxable,0.575
"Income 30 TM (ETF, QUSLGDIV)",Equity,,30.0
"Income 30 TM (ETF, QUSLGDIV)",Equity,US Large Cap Core,10.5592
"Income 30 TM (ETF, QUSLGDIV)",Equity,US Real Estate,0.489
"Income 30 TM (ETF, QUSLGDIV)",Equity,US Sector Equity,6.7903
"Income 30 TM (ETF, QUSLGDIV)",Equity,US Mid Cap Core,1.0612
"Income 30 TM (ETF, QUSLGDIV)",Equity,US Small Cap Core,3.2987
"Income 30 TM (ETF, QUSLGDIV)",Equity,Int'l Developed Core,3.1489
"Income 30 TM (ETF, QUSLGDIV)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 TM (ETF, QUSLGDIV)",Equity,Emerging Markets Core,2.9396
"Income 30 TM (ETF, QUSLGDIV)",Bonds,,69.1255
"Income 30 TM (ETF, QUSLGDIV)",Bonds,US Aggregate Bond,30.9037
"Income 30 TM (ETF, QUSLGDIV)",Bonds,US Treasury,9.9811
"Income 30 TM (ETF, QUSLGDIV)",Bonds,US Corporate Bond,16.2125
"Income 30 TM (ETF, QUSLGDIV)",Bonds,Int'l Bond,12.0281
"Income 30 TM (ETF, QUSLGDIV)",Cash,,0.8745
"Income 30 TM (ETF, QUSLGDIV)",Cash,Cash,0.2995
"Income 30 TM (ETF, QUSLGDIV)",Cash,Money Market Taxable,0.575
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,,30.0
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Large Cap Core,10.5592
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Real Estate,0.489
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Sector Equity,6.7903
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Mid Cap Core,1.0612
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,US Small Cap Core,3.2987
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Int'l Developed Core,3.1489
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,1.7131
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Equity,Emerging Markets Core,2.9396
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,,69.1255
"Income 30 TM (ETF, QUSLGDIV, N7YMUN)",Bonds,US Aggregate Bond,30.9037
