strategy,asset_1,asset_2,correlation
Income 10 TM (ETF),Commodities,Real Estate,0.3032
Income 10 TM (ETF),Commodities,Commodities,1.0
Income 100 (ETF),US Equity,US Equity,1.0
Income 100 (ETF),US Equity,Int'l Equity,0.8181
Income 100 (ETF),US Equity,US Bonds,0.0439
Income 100 (ETF),US Equity,Real Estate,0.5778
Income 100 (ETF),US Equity,Commodities,0.2897
Income 100 (ETF),Int'l Equity,US Equity,0.8181
Income 100 (ETF),Int'l Equity,Int'l Equity,1.0
Income 100 (ETF),Int'l Equity,US Bonds,-0.0393
Income 100 (ETF),Int'l Equity,Real Estate,0.5624
Income 100 (ETF),Int'l Equity,Commodities,0.3929
Income 100 (ETF),US Bonds,US Equity,0.0439
Income 100 (ETF),US Bonds,Int'l Equity,-0.0393
Income 100 (ETF),US Bonds,US Bonds,1.0
Income 100 (ETF),US Bonds,Real Estate,0.2486
Income 100 (ETF),US Bonds,Commodities,-0.1209
Income 100 (ETF),Real Estate,US Equity,0.5778
Income 100 (ETF),Real Estate,Int'l Equity,0.5624
Income 100 (ETF),Real Estate,US Bonds,0.2486
Income 100 (ETF),Real Estate,Real Estate,1.0
Income 100 (ETF),Real Estate,Commodities,0.2945
Income 100 (ETF),Commodities,US Equity,0.2897
Income 100 (ETF),Commodities,Int'l Equity,0.3929
Income 100 (ETF),Commodities,US Bonds,-0.1209
Income 100 (ETF),Commodities,Real Estate,0.2945
Income 100 (ETF),Commodities,Commodities,1.0
"Income 100 (ETF, All Weather)",US Equity,US Equity,1.0
"Income 100 (ETF, All Weather)",US Equity,Int'l Equity,0.817
"Income 100 (ETF, All Weather)",US Equity,US Bonds,0.085
"Income 100 (ETF, All Weather)",US Equity,Real Estate,0.5702
"Income 100 (ETF, All Weather)",US Equity,Commodities,0.356
"Income 100 (ETF, All Weather)",Int'l Equity,US Equity,0.817
"Income 100 (ETF, All Weather)",Int'l Equity,Int'l Equity,1.0
"Income 100 (ETF, All Weather)",Int'l Equity,US Bonds,-0.0363
"Income 100 (ETF, All Weather)",Int'l Equity,Real Estate,0.5156
"Income 100 (ETF, All Weather)",Int'l Equity,Commodities,0.3997
"Income 100 (ETF, All Weather)",US Bonds,US Equity,0.085
"Income 100 (ETF, All Weather)",US Bonds,Int'l Equity,-0.0363
"Income 100 (ETF, All Weather)",US Bonds,US Bonds,1.0
"Income 100 (ETF, All Weather)",US Bonds,Real Estate,0.1908
"Income 100 (ETF, All Weather)",US Bonds,Commodities,-0.1237
"Income 100 (ETF, All Weather)",Real Estate,US Equity,0.5702
"Income 100 (ETF, All Weather)",Real Estate,Int'l Equity,0.5156
"Income 100 (ETF, All Weather)",Real Estate,US Bonds,0.1908
"Income 100 (ETF, All Weather)",Real Estate,Real Estate,1.0
"Income 100 (ETF, All Weather)",Real Estate,Commodities,0.2706
"Income 100 (ETF, All Weather)",Commodities,US Equity,0.356
"Income 100 (ETF, All Weather)",Commodities,Int'l Equity,0.3997
"Income 100 (ETF, All Weather)",Commodities,US Bonds,-0.1237
"Income 100 (ETF, All Weather)",Commodities,Real Estate,0.2706
"Income 100 (ETF, All Weather)",Commodities,Commodities,1.0
"Income 100 (ETF, QUSLGDIV)",US Equity,US Equity,1.0
"Income 100 (ETF, QUSLGDIV)",US Equity,Int'l Equity,0.832
"Income 100 (ETF, QUSLGDIV)",US Equity,US Bonds,0.0063
"Income 100 (ETF, QUSLGDIV)",US Equity,Real Estate,0.5951
"Income 100 (ETF, QUSLGDIV)",US Equity,Commodities,0.3014
"Income 100 (ETF, QUSLGDIV)",Int'l Equity,US Equity,0.832
"Income 100 (ETF, QUSLGDIV)",Int'l Equity,Int'l Equity,1.0
"Income 100 (ETF, QUSLGDIV)",Int'l Equity,US Bonds,-0.0095
"Income 100 (ETF, QUSLGDIV)",Int'l Equity,Real Estate,0.5111
"Income 100 (ETF, QUSLGDIV)",Int'l Equity,Commodities,0.395
"Income 100 (ETF, QUSLGDIV)",US Bonds,US Equity,0.0063
"Income 100 (ETF, QUSLGDIV)",US Bonds,Int'l Equity,-0.0095
"Income 100 (ETF, QUSLGDIV)",US Bonds,US Bonds,1.0
"Income 100 (ETF, QUSLGDIV)",US Bonds,Real Estate,0.2278
"Income 100 (ETF, QUSLGDIV)",US Bonds,Commodities,-0.1043
"Income 100 (ETF, QUSLGDIV)",Real Estate,US Equity,0.5951
"Income 100 (ETF, QUSLGDIV)",Real Estate,Int'l Equity,0.5111
"Income 100 (ETF, QUSLGDIV)",Real Estate,US Bonds,0.2278
"Income 100 (ETF, QUSLGDIV)",Real Estate,Real Estate,1.0
"Income 100 (ETF, QUSLGDIV)",Real Estate,Commodities,0.2936
"Income 100 (ETF, QUSLGDIV)",Commodities,US Equity,0.3014
"Income 100 (ETF, QUSLGDIV)",Commodities,Int'l Equity,0.395
"Income 100 (ETF, QUSLGDIV)",Commodities,US Bonds,-0.1043
"Income 100 (ETF, QUSLGDIV)",Commodities,Real Estate,0.2936
"Income 100 (ETF, QUSLGDIV)",Commodities,Commodities,1.0
Income 20 (ETF),US Equity,US Equity,1.0
Income 20 (ETF),US Equity,Int'l Equity,0.8206
Income 20 (ETF),US Equity,US Bonds,0.12
Income 20 (ETF),US Equity,Real Estate,0.5673
Income 20 (ETF),US Equity,Commodities,0.356
Income 20 (ETF),Int'l Equity,US Equity,0.8206
Income 20 (ETF),Int'l Equity,Int'l Equity,1.0
Income 20 (ETF),Int'l Equity,US Bonds,0.0853
Income 20 (ETF),Int'l Equity,Real Estate,0.5192
Income 20 (ETF),Int'l Equity,Commodities,0.3852
Income 20 (ETF),US Bonds,US Equity,0.12
Income 20 (ETF),US Bonds,Int'l Equity,0.0853
Income 20 (ETF),US Bonds,US Bonds,1.0
Income 20 (ETF),US Bonds,Real Estate,0.2099
Income 20 (ETF),US Bonds,Commodities,-0.1023
Income 20 (ETF),Real Estate,US Equity,0.5673
Income 20 (ETF),Real Estate,Int'l Equity,0.5192
Income 20 (ETF),Real Estate,US Bonds,0.2099
Income 20 (ETF),Real Estate,Real Estate,1.0
Income 20 (ETF),Real Estate,Commodities,0.2628
Income 20 (ETF),Commodities,US Equity,0.356
Income 20 (ETF),Commodities,Int'l Equity,0.3852
Income 20 (ETF),Commodities,US Bonds,-0.1023
Income 20 (ETF),Commodities,Real Estate,0.2628
Income 20 (ETF),Commodities,Commodities,1.0
"Income 20 (ETF, All Weather)",US Equity,US Equity,1.0
"Income 20 (ETF, All Weather)",US Equity,Int'l Equity,0.7803
"Income 20 (ETF, All Weather)",US Equity,US Bonds,0.1208
"Income 20 (ETF, All Weather)",US Equity,Real Estate,0.5661
"Income 20 (ETF, All Weather)",US Equity,Commodities,0.3604
"Income 20 (ETF, All Weather)",Int'l Equity,US Equity,0.7803
"Income 20 (ETF, All Weather)",Int'l Equity,Int'l Equity,1.0
"Income 20 (ETF, All Weather)",Int'l Equity,US Bonds,0.0756
"Income 20 (ETF, All Weather)",Int'l Equity,Real Estate,0.5142
"Income 20 (ETF, All Weather)",Int'l Equity,Commodities,0.36
"Income 20 (ETF, All Weather)",US Bonds,US Equity,0.1208
"Income 20 (ETF, All Weather)",US Bonds,Int'l Equity,0.0756
"Income 20 (ETF, All Weather)",US Bonds,US Bonds,1.0
"Income 20 (ETF, All Weather)",US Bonds,Real Estate,0.2162
"Income 20 (ETF, All Weather)",US Bonds,Commodities,-0.1624
"Income 20 (ETF, All Weather)",Real Estate,US Equity,0.5661
"Income 20 (ETF, All Weather)",Real Estate,Int'l Equity,0.5142
"Income 20 (ETF, All Weather)",Real Estate,US Bonds,0.2162
"Income 20 (ETF, All Weather)",Real Estate,Real Estate,1.0
"Income 20 (ETF, All Weather)",Real Estate,Commodities,0.282
"Income 20 (ETF, All Weather)",Commodities,US Equity,0.3604
"Income 20 (ETF, All Weather)",Commodities,Int'l Equity,0.36
"Income 20 (ETF, All Weather)",Commodities,US Bonds,-0.1624
"Income 20 (ETF, All Weather)",Commodities,Real Estate,0.282
"Income 20 (ETF, All Weather)",Commodities,Commodities,1.0
"Income 20 (ETF, B5YCRP)",US Equity,US Equity,1.0
"Income 20 (ETF, B5YCRP)",US Equity,Int'l Equity,0.8387
"Income 20 (ETF, B5YCRP)",US Equity,US Bonds,0.1503
"Income 20 (ETF, B5YCRP)",US Equity,Real Estate,0.5807
"Income 20 (ETF, B5YCRP)",US Equity,Commodities,0.3417
"Income 20 (ETF, B5YCRP)",Int'l Equity,US Equity,0.8387
"Income 20 (ETF, B5YCRP)",Int'l Equity,Int'l Equity,1.0
"Income 20 (ETF, B5YCRP)",Int'l Equity,US Bonds,0.0611
"Income 20 (ETF, B5YCRP)",Int'l Equity,Real Estate,0.4895
"Income 20 (ETF, B5YCRP)",Int'l Equity,Commodities,0.368
"Income 20 (ETF, B5YCRP)",US Bonds,US Equity,0.1503
"Income 20 (ETF, B5YCRP)",US Bonds,Int'l Equity,0.0611
"Income 20 (ETF, B5YCRP)",US Bonds,US Bonds,1.0
"Income 20 (ETF, B5YCRP)",US Bonds,Real Estate,0.1822
"Income 20 (ETF, B5YCRP)",US Bonds,Commodities,-0.1161
"Income 20 (ETF, B5YCRP)",Real Estate,US Equity,0.5807
"Income 20 (ETF, B5YCRP)",Real Estate,Int'l Equity,0.4895
"Income 20 (ETF, B5YCRP)",Real Estate,US Bonds,0.1822
"Income 20 (ETF, B5YCRP)",Real Estate,Real Estate,1.0
"Income 20 (ETF, B5YCRP)",Real Estate,Commodities,0.2916
"Income 20 (ETF, B5YCRP)",Commodities,US Equity,0.3417
"Income 20 (ETF, B5YCRP)",Commodities,Int'l Equity,0.368
"Income 20 (ETF, B5YCRP)",Commodities,US Bonds,-0.1161
"Income 20 (ETF, B5YCRP)",Commodities,Real Estate,0.2916
"Income 20 (ETF, B5YCRP)",Commodities,Commodities,1.0
"Income 20 (ETF, QUSLGDIV)",US Equity,US Equity,1.0
"Income 20 (ETF, QUSLGDIV)",US Equity,Int'l Equity,0.8155
"Income 20 (ETF, QUSLGDIV)",US Equity,US Bonds,0.1465
"Income 20 (ETF, QUSLGDIV)",US Equity,Real Estate,0.6127
"Income 20 (ETF, QUSLGDIV)",US Equity,Commodities,0.3297
"Income 20 (ETF, QUSLGDIV)",Int'l Equity,US Equity,0.8155
"Income 20 (ETF, QUSLGDIV)",Int'l Equity,Int'l Equity,1.0
"Income 20 (ETF, QUSLGDIV)",Int'l Equity,US Bonds,0.0328
"Income 20 (ETF, QUSLGDIV)",Int'l Equity,Real Estate,0.5207
"Income 20 (ETF, QUSLGDIV)",Int'l Equity,Commodities,0.3727
"Income 20 (ETF, QUSLGDIV)",US Bonds,US Equity,0.1465
"Income 20 (ETF, QUSLGDIV)",US Bonds,Int'l Equity,0.0328
"Income 20 (ETF, QUSLGDIV)",US Bonds,US Bonds,1.0
"Income 20 (ETF, QUSLGDIV)",US Bonds,Real Estate,0.2345
"Income 20 (ETF, QUSLGDIV)",US Bonds,Commodities,-0.1206
"Income 20 (ETF, QUSLGDIV)",Real Estate,US Equity,0.6127
"Income 20 (ETF, QUSLGDIV)",Real Estate,Int'l Equity,0.5207
"Income 20 (ETF, QUSLGDIV)",Real Estate,US Bonds,0.2345
"Income 20 (ETF, QUSLGDIV)",Real Estate,Real Estate,1.0
"Income 20 (ETF, QUSLGDIV)",Real Estate,Commodities,0.2683
"Income 20 (ETF, QUSLGDIV)",Commodities,US Equity,0.3297
"Income 20 (ETF, QUSLGDIV)",Commodities,Int'l Equity,0.3727
"Income 20 (ETF, QUSLGDIV)",Commodities,US Bonds,-0.1206
"Income 20 (ETF, QUSLGDIV)",Commodities,Real Estate,0.2683
"Income 20 (ETF, QUSLGDIV)",Commodities,Commodities,1.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Equity,US Equity,1.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Equity,Int'l Equity,0.8473
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Equity,US Bonds,0.118
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Equity,Real Estate,0.5987
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Equity,Commodities,0.3254
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Int'l Equity,US Equity,0.8473
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Int'l Equity,Int'l Equity,1.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Int'l Equity,US Bonds,0.046
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Int'l Equity,Real Estate,0.5214
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Int'l Equity,Commodities,0.4075
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Bonds,US Equity,0.118
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Bonds,Int'l Equity,0.046
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Bonds,US Bonds,1.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Bonds,Real Estate,0.2258
"Income 20 (ETF, QUSLGDIV, B5YCRP)",US Bonds,Commodities,-0.1
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Real Estate,US Equity,0.5987
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Real Estate,Int'l Equity,0.5214
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Real Estate,US Bonds,0.2258
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Real Estate,Real Estate,1.0
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Real Estate,Commodities,0.2972
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Commodities,US Equity,0.3254
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Commodities,Int'l Equity,0.4075
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Commodities,US Bonds,-0.1
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Commodities,Real Estate,0.2972
"Income 20 (ETF, QUSLGDIV, B5YCRP)",Commodities,Commodities,1.0
Income 20 TM (ETF),US Equity,US Equity,1.0
Income 20 TM (ETF),US Equity,Int'l Equity,0.8554
Income 20 TM (ETF),US Equity,US Bonds,0.142
Income 20 TM (ETF),US Equity,Real Estate,0.5557
Income 20 TM (ETF),US Equity,Commodities,0.3302
Income 20 TM (ETF),Int'l Equity,US Equity,0.8554
Income 20 TM (ETF),Int'l Equity,Int'l Equity,1.0
Income 20 TM (ETF),Int'l Equity,US Bonds,0.0398
Income 20 TM (ETF),Int'l Equity,Real Estate,0.4911
Income 20 TM (ETF),Int'l Equity,Commodities,0.373
Income 20 TM (ETF),US Bonds,US Equity,0.142
Income 20 TM (ETF),US Bonds,Int'l Equity,0.0398
Income 20 TM (ETF),US Bonds,US Bonds,1.0
Income 20 TM (ETF),US Bonds,Real Estate,0.2482
Income 20 TM (ETF),US Bonds,Commodities,-0.1042
Income 20 TM (ETF),Real Estate,US Equity,0.5557
Income 20 TM (ETF),Real Estate,Int'l Equity,0.4911
Income 20 TM (ETF),Real Estate,US Bonds,0.2482
Income 20 TM (ETF),Real Estate,Real Estate,1.0
Income 20 TM (ETF),Real Estate,Commodities,0.2646
Income 20 TM (ETF),Commodities,US Equity,0.3302
Income 20 TM (ETF),Commodities,Int'l Equity,0.373
Income 20 TM (ETF),Commodities,US Bonds,-0.1042
Income 20 TM (ETF),Commodities,Real Estate,0.2646
Income 20 TM (ETF),Commodities,Commodities,1.0
"Income 20 TM (ETF, N7YMUN)",US Equity,US Equity,1.0
"Income 20 TM (ETF, N7YMUN)",US Equity,Int'l Equity,0.8418
"Income 20 TM (ETF, N7YMUN)",US Equity,US Bonds,0.1558
"Income 20 TM (ETF, N7YMUN)",US Equity,Real Estate,0.5874
"Income 20 TM (ETF, N7YMUN)",US Equity,Commodities,0.3498
"Income 20 TM (ETF, N7YMUN)",Int'l Equity,US Equity,0.8418
"Income 20 TM (ETF, N7YMUN)",Int'l Equity,Int'l Equity,1.0
"Income 20 TM (ETF, N7YMUN)",Int'l Equity,US Bonds,0.0973
"Income 20 TM (ETF, N7YMUN)",Int'l Equity,Real Estate,0.5099
"Income 20 TM (ETF, N7YMUN)",Int'l Equity,Commodities,0.3723
"Income 20 TM (ETF, N7YMUN)",US Bonds,US Equity,0.1558
"Income 20 TM (ETF, N7YMUN)",US Bonds,Int'l Equity,0.0973
"Income 20 TM (ETF, N7YMUN)",US Bonds,US Bonds,1.0
"Income 20 TM (ETF, N7YMUN)",US Bonds,Real Estate,0.2341
"Income 20 TM (ETF, N7YMUN)",US Bonds,Commodities,-0.1058
"Income 20 TM (ETF, N7YMUN)",Real Estate,US Equity,0.5874
"Income 20 TM (ETF, N7YMUN)",Real Estate,Int'l Equity,0.5099
"Income 20 TM (ETF, N7YMUN)",Real Estate,US Bonds,0.2341
"Income 20 TM (ETF, N7YMUN)",Real Estate,Real Estate,1.0
"Income 20 TM (ETF, N7YMUN)",Real Estate,Commodities,0.2776
"Income 20 TM (ETF, N7YMUN)",Commodities,US Equity,0.3498
"Income 20 TM (ETF, N7YMUN)",Commodities,Int'l Equity,0.3723
"Income 20 TM (ETF, N7YMUN)",Commodities,US Bonds,-0.1058
"Income 20 TM (ETF, N7YMUN)",Commodities,Real Estate,0.2776
"Income 20 TM (ETF, N7YMUN)",Commodities,Commodities,1.0
"Income 20 TM (ETF, QUSLGDIV)",US Equity,US Equity,1.0
"Income 20 TM (ETF, QUSLGDIV)",US Equity,Int'l Equity,0.8091
"Income 20 TM (ETF, QUSLGDIV)",US Equity,US Bonds,0.0965
"Income 20 TM (ETF, QUSLGDIV)",US Equity,Real Estate,0.596
"Income 20 TM (ETF, QUSLGDIV)",US Equity,Commodities,0.3136
"Income 20 TM (ETF, QUSLGDIV)",Int'l Equity,US Equity,0.8091
"Income 20 TM (ETF, QUSLGDIV)",Int'l Equity,Int'l Equity,1.0
"Income 20 TM (ETF, QUSLGDIV)",Int'l Equity,US Bonds,0.0581
"Income 20 TM (ETF, QUSLGDIV)",Int'l Equity,Real Estate,0.52
"Income 20 TM (ETF, QUSLGDIV)",Int'l Equity,Commodities,0.3853
"Income 20 TM (ETF, QUSLGDIV)",US Bonds,US Equity,0.0965
"Income 20 TM (ETF, QUSLGDIV)",US Bonds,Int'l Equity,0.0581
"Income 20 TM (ETF, QUSLGDIV)",US Bonds,US Bonds,1.0
"Income 20 TM (ETF, QUSLGDIV)",US Bonds,Real Estate,0.2237
"Income 20 TM (ETF, QUSLGDIV)",US Bonds,Commodities,-0.083
"Income 20 TM (ETF, QUSLGDIV)",Real Estate,US Equity,0.596
"Income 20 TM (ETF, QUSLGDIV)",Real Estate,Int'l Equity,0.52
"Income 20 TM (ETF, QUSLGDIV)",Real Estate,US Bonds,0.2237
"Income 20 TM (ETF, QUSLGDIV)",Real Estate,Real Estate,1.0
"Income 20 TM (ETF, QUSLGDIV)",Real Estate,Commodities,0.2967
"Income 20 TM (ETF, QUSLGDIV)",Commodities,US Equity,0.3136
"Income 20 TM (ETF, QUSLGDIV)",Commodities,Int'l Equity,0.3853
"Income 20 TM (ETF, QUSLGDIV)",Commodities,US Bonds,-0.083
"Income 20 TM (ETF, QUSLGDIV)",Commodities,Real Estate,0.2967
"Income 20 TM (ETF, QUSLGDIV)",Commodities,Commodities,1.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Equity,US Equity,1.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Equity,Int'l Equity,0.8357
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Equity,US Bonds,0.1163
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Equity,Real Estate,0.599
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Equity,Commodities,0.3271
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Int'l Equity,US Equity,0.8357
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Int'l Equity,Int'l Equity,1.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Int'l Equity,US Bonds,0.0411
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Int'l Equity,Real Estate,0.5005
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Int'l Equity,Commodities,0.4002
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Bonds,US Equity,0.1163
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Bonds,Int'l Equity,0.0411
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Bonds,US Bonds,1.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Bonds,Real Estate,0.2102
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",US Bonds,Commodities,-0.0952
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Real Estate,US Equity,0.599
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Real Estate,Int'l Equity,0.5005
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Real Estate,US Bonds,0.2102
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Real Estate,Real Estate,1.0
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Real Estate,Commodities,0.2728
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Commodities,US Equity,0.3271
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Commodities,Int'l Equity,0.4002
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Commodities,US Bonds,-0.0952
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Commodities,Real Estate,0.2728
"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Commodities,Commodities,1.0
Income 30 (ETF),US Equity,US Equity,1.0
Income 30 (ETF),US Equity,Int'l Equity,0.8344
Income 30 (ETF),US Equity,US Bonds,0.1221
Income 30 (ETF),US Equity,Real Estate,0.5962
Income 30 (ETF),US Equity,Commodities,0.3197
Income 30 (ETF),Int'l Equity,US Equity,0.8344
Income 30 (ETF),Int'l Equity,Int'l Equity,1.0
Income 30 (ETF),Int'l Equity,US Bonds,0.0347
Income 30 (ETF),Int'l Equity,Real Estate,0.5235
Income 30 (ETF),Int'l Equity,Commodities,0.3724
Income 30 (ETF),US Bonds,US Equity,0.1221
Income 30 (ETF),US Bonds,Int'l Equity,0.0347
Income 30 (ETF),US Bonds,US Bonds,1.0
Income 30 (ETF),US Bonds,Real Estate,0.1917
Income 30 (ETF),US Bonds,Commodities,-0.1098
Income 30 (ETF),Real Estate,US Equity,0.5962
Income 30 (ETF),Real Estate,Int'l Equity,0.5235
Income 30 (ETF),Real Estate,US Bonds,0.1917
Income 30 (ETF),Real Estate,Real Estate,1.0
Income 30 (ETF),Real Estate,Commodities,0.3116
Income 30 (ETF),Commodities,US Equity,0.3197
Income 30 (ETF),Commodities,Int'l Equity,0.3724
Income 30 (ETF),Commodities,US Bonds,-0.1098
Income 30 (ETF),Commodities,Real Estate,0.3116
Income 30 (ETF),Commodities,Commodities,1.0
"Income 30 (ETF, All Weather)",US Equity,US Equity,1.0
"Income 30 (ETF, All Weather)",US Equity,Int'l Equity,0.8233
"Income 30 (ETF, All Weather)",US Equity,US Bonds,0.151
"Income 30 (ETF, All Weather)",US Equity,Real Estate,0.5554
"Income 30 (ETF, All Weather)",US Equity,Commodities,0.293
"Income 30 (ETF, All Weather)",Int'l Equity,US Equity,0.8233
"Income 30 (ETF, All Weather)",Int'l Equity,Int'l Equity,1.0
"Income 30 (ETF, All Weather)",Int'l Equity,US Bonds,0.0658
